bed=None,br=90,th=160,dpi=100,debug=True,resetbed=False,assignBeds=False,syringeMinPos=50,sygOffset=30,,,,
Filename,FolderID,FabID,Sample#,Region,AdvCALeft(deg),AdvCARight(deg),MaxDiameter(px),BED(px),,,,
20140828-10_09_52-CA9_L003B-01_BED369.MOV,CA9,L,3,B,74.8526584,77.61618623,871,369,,,,
20140828-10_15_55-CA9_L003B-02_BED371.MOV,CA9,L,3,B,83.51935748,82.69359853,785,371,,,,
20140828-10_21_32-CA9_L003B-03_BED368.MOV,CA9,L,3,B,84.1173619,80.84310925,797,368,,,,
20140828-10_27_55-CA9_L003B-04_BED385.MOV,CA9,L,3,B,84.34500675,81.45735408,802,385,,,,
20140828-10_40_19-CA9_L003B-05_BED361.MOV,CA9,L,3,B,75.14704747,75.24583973,728,361,,,,
20140828-10_44_59-CA9_L003B-06_BED378.MOV,CA9,L,3,B,78.28003023,73.37138154,806,378,,,,
20140828-10_49_44-CA9_L003B-07_BED390.MOV,CA9,L,3,B,78.06221213,76.76254229,799,390,,,,
20140828-11_06_02-CA9_L003B-08_BED379.MOV,CA9,L,3,B,77.87001669,75.49114382,796,379,,,,
20140828-11_11_31-CA9_L003B-09_BED392.MOV,CA9,L,3,B,78.65807577,62.24341987,798,392,,,,
20140828-11_16_31-CA9_L003B-10_BED380.MOV,CA9,L,3,B,75.53461988,79.39862392,812,380,,,,
20140828-11_22_32-CA9_L003B-11_BED384.MOV,CA9,L,3,B,70.78806818,69.94125881,848,384,,,,
20140828-11_28_36-CA9_L003B-12_BED381.MOV,CA9,L,3,B,77.99673898,76.5260643,800,381,,,,
20140828-11_33_51-CA9_L003B-13_BED384.MOV,CA9,L,3,B,75.18150533,74.7635181,790,384,,,,
20140828-11_47_07-CA9_INC002B-01_BED386.MOV,CA9,INC,2,B,88.70867427,84.29285291,840,386,,,,
20140828-11_47_07-CA9_INC002B-01_BED386.MOV,CA9,INC,2,B,89.65064981,90.00499191,806,386,,,,
20140828-11_51_46-CA9_INC002B-02_BED377.MOV,CA9,INC,2,B,74.91654026,76.31959075,842,377,,,,
20140828-11_51_46-CA9_INC002B-02_BED377.MOV,CA9,INC,2,B,75.54783872,75.30487967,744,377,,,,
20140828-11_56_58-CA9_INC002B-03_BED395.MOV,CA9,INC,2,B,90.16049798,79.6336557,844,395,,,,
20140828-11_56_58-CA9_INC002B-03_BED395.MOV,CA9,INC,2,B,94.58882843,80.51928841,764,395,,,,
20140828-12_02_03-CA9_INC002B-04_BED397.MOV,CA9,INC,2,B,77.13578436,79.97670977,860,397,,,,
20140828-15_35_56-CA9_INC002B-08_BED393.MOV,CA9,INC,2,B,82.53214905,80.3396876,847,393,,,,
20140828-15_40_33-CA9_INC002B-09_BED399.MOV,CA9,INC,2,B,80.48390533,79.8459357,836,399,,,,
20140829-11_39_53-CA9_3DS002B-01_BED403.MOV,CA9,3DS,2,B,86.29893486,85.87200587,831,403,,,,
20140829-11_44_44-CA9_3DS002B-02_BED414.MOV,CA9,3DS,2,B,75.41371115,77.52255061,820,414,,,,
20140829-11_49_45-CA9_3DS002B-03_BED410.MOV,CA9,3DS,2,B,74.63072726,76.77265639,831,410,,,,
20140829-11_55_27-CA9_3DS002B-04_BED408.MOV,CA9,3DS,2,B,79.17580896,76.89033296,833,408,,,,
20140829-12_00_14-CA9_3DS002B-05_BED407.MOV,CA9,3DS,2,B,75.46878108,72.34523578,833,407,,,,
20140829-12_06_00-CA9_3DS002B-06_BED406.MOV,CA9,3DS,2,B,78.18470967,77.0595423,835,406,,,,
20140829-12_22_04-CA9_3DS002B-07_BED416.MOV,CA9,3DS,2,B,71.70562763,68.44740272,832,416,,,,
20140829-12_32_12-CA9_3DS002B-08_BED407.MOV,CA9,3DS,2,B,73.76958471,70.8911846,849,407,,,,
